# Copyright (c) 2026 Joseph Potashnik.
# Licensed under the MIT License. See LICENSE.txt for details.
# Samples of Target Dyck2.txt #
Count	Sentence
2	[ ] ( [ ( ) ] )
4	( [ ] ( ) ) [ ]
5	[ ] ( ( ( ) ) )
7	[ ] [ [ ] ] ( )
6	[ ( ) ( ) ] ( )
10	[ ] [ [ ] [ ] ]
7	( [ ( ) [ ] ] )
5	( ( ) [ [ ] ] )
9	[ ] ( ( ) ( ) )
4	[ [ ] [ ] ] [ ]
4	[ [ ( ) ( ) ] ]
5	[ ( ) [ ] ] ( )
2	( [ ( [ ] ) ] )
5	[ [ ( ) ] ] [ ]
6	[ ( ) ] ( [ ] )
4	( ( ) [ ] ) ( )
7	( ( ( ) ) [ ] )
4	( [ ] ) ( ( ) )
5	[ ( [ ] ) ] [ ]
5	[ ] [ ( ( ) ) ]
7	[ [ [ ] ] [ ] ]
4	( [ ] [ ] ) [ ]
9	[ [ ] ] ( [ ] )
13	[ [ ] ] [ ] [ ]
2	[ ( ) [ ( ) ] ]
14	( ) [ ( ) ] [ ]
6	( [ ( ( ) ) ] )
6	[ ( [ ] ) ] ( )
6	( [ ( ) ] ) [ ]
9	[ ] ( ) [ ( ) ]
8	( ( ) [ ] ) [ ]
9	( ) [ ( ) ( ) ]
8	[ ] ( [ ] ( ) )
2	[ ( ) ] [ [ ] ]
5	[ ( ) [ ] ] [ ]
10	( [ [ ] ] ) [ ]
6	( ) [ ( ( ) ) ]
6	( [ ] ) ( ) [ ]
6	[ [ [ ] ] ( ) ]
2	[ [ [ ( ) ] ] ]
18	[ ( ) ] [ ] [ ]
8	( ( ) ) ( [ ] )
8	[ [ ] ( ) ] ( )
7	[ [ [ ] [ ] ] ]
9	( [ ] ( ( ) ) )
4	[ ] [ ( ) ( ) ]
7	( [ ] ) ( [ ] )
20	( [ ] ( ) [ ] )
8	( ( ( ) [ ] ) )
9	[ [ ] [ ( ) ] ]
11	[ ] ( [ ] ) [ ]
36	[ ] [ ] [ ] [ ]
12	[ [ ] ] ( ) [ ]
6	( ) [ ( ) [ ] ]
5	[ ( ) ] ( ( ) )
15	( ( ) [ ] ( ) )
6	[ ( [ [ ] ] ) ]
11	( ) [ ] [ [ ] ]
6	[ ( ( ) ) [ ] ]
6	( ( ( [ ] ) ) )
8	( ) ( ( ( ) ) )
34	[ ] ( ) ( ) [ ]
7	( [ [ [ ] ] ] )
5	( [ ] ( [ ] ) )
33	[ ] ( ) [ ] [ ]
18	( [ ] [ ] [ ] )
10	[ ( ) ( ( ) ) ]
8	( [ ( ) ] ( ) )
10	[ ( ) ] [ ( ) ]
10	[ ] ( ) [ [ ] ]
12	[ [ ] [ ] ] ( )
15	( ( ) ) [ ] ( )
39	[ ] ( ) [ ] ( )
33	( ) [ ] [ ] [ ]
5	( [ ] [ ] ) ( )
16	[ ( ) [ ] ( ) ]
14	[ ( ) ] ( ) ( )
36	[ ] [ ] ( ) [ ]
5	( [ [ ] ( ) ] )
33	( ) [ ] ( ) [ ]
5	( [ ( ) ( ) ] )
19	( ( ) [ ] [ ] )
4	( [ ] ) [ [ ] ]
37	[ ] [ ] ( ) ( )
13	[ ] [ ] ( ( ) )
19	[ ( ) ] [ ] ( )
4	( [ [ ] ] [ ] )
8	( ( [ ] ) ) ( )
31	( ) ( ) [ ] ( )
23	[ ( ) [ ] [ ] ]
29	( ) ( ) ( ) ( )
8	( ( [ ] ) ) [ ]
12	[ [ ( ) ] ] ( )
9	( ( [ ] ( ) ) )
24	( ) [ ] [ ] ( )
16	( ) [ [ ] ] ( )
17	( ( ) ( ) ( ) )
14	[ [ ] [ ] ( ) ]
10	[ [ ] ( ) ] [ ]
6	( [ [ ] ] ( ) )
17	( ) ( ( ) ) [ ]
13	( ( ) ) ( ) [ ]
17	[ [ ] ] [ ] ( )
33	( ) ( ) ( ) [ ]
17	( ) ( [ ] ) [ ]
16	( ( ) ( ) [ ] )
13	[ ( ) ( [ ] ) ]
6	[ ] [ [ ( ) ] ]
7	[ [ ( ( ) ) ] ]
16	[ ] [ ( ) ] ( )
9	( ( ) ( ) ) [ ]
18	[ ] [ [ ] ] [ ]
5	[ [ ( ) ] ( ) ]
11	( [ ] [ ] ( ) )
18	( ) [ ] ( ( ) )
13	( ) ( ( ) ) ( )
10	[ [ [ ] ( ) ] ]
17	[ ] ( ( ) ) ( )
5	[ [ ( ) ] [ ] ]
7	[ [ ( ) [ ] ] ]
8	[ [ ] ] [ [ ] ]
8	( ( ) ) ( ( ) )
11	( ( ) ) ( ) ( )
15	[ ] [ ] ( [ ] )
9	( ) [ [ [ ] ] ]
4	[ ] ( [ ] [ ] )
11	[ ( [ ] ( ) ) ]
9	[ ( [ ( ) ] ) ]
24	( ) ( ) [ ] [ ]
12	( ) ( ) [ [ ] ]
16	( ) ( [ ] ) ( )
9	( ( ( ) ) ) [ ]
14	[ ] ( ) ( [ ] )
8	[ ] ( ) ( ( ) )
12	[ ] ( ( ) ) [ ]
6	( ) ( [ ( ) ] )
12	( ) [ ] ( [ ] )
9	( ( ) ) [ ] [ ]
3	( [ [ ( ) ] ] )
5	[ ( [ ] [ ] ) ]
31	[ ] [ ] [ ] ( )
10	[ ( ( [ ] ) ) ]
9	( ) ( ) ( ( ) )
19	[ ] [ ] [ [ ] ]
4	[ [ [ ] ] ] ( )
11	[ [ ] ( [ ] ) ]
4	[ ] ( ( [ ] ) )
7	( ) [ ( [ ] ) ]
17	[ ( ) ( ) ( ) ]
14	[ [ ] [ ] [ ] ]
34	( ) [ ] ( ) ( )
15	[ [ ] ( ) ( ) ]
13	[ [ ] ( ) [ ] ]
13	[ [ ] ] ( ) ( )
6	( ( ) ) [ [ ] ]
8	( ( ) ) [ ( ) ]
11	[ ( ) ( ) ] [ ]
9	[ [ ] ] ( ( ) )
5	( ( [ ] ) ( ) )
5	( ) ( ( ) [ ] )
13	( ) [ [ ] ] [ ]
8	( [ ] ( ) ) ( )
12	[ ] [ ] [ ( ) ]
11	( [ ( ) ] [ ] )
9	( [ ] ) [ ] ( )
17	( [ ] ) [ ] [ ]
5	( ) [ [ ] [ ] ]
8	( ) ( [ ] ( ) )
7	[ [ [ [ ] ] ] ]
16	[ ] ( [ ] ) ( )
2	[ [ ] [ [ ] ] ]
